-- SHOP

sid;nazwa;kierownik
6367;20211029;3;31
6367;20211029;3;76
6367;20211029;3;52
6367;20211029;3;73
6368;20211029;4;40
6368;20211029;4;37
6368;20211029;4;77
6369;20211029;2;26
6369;20211029;2;11
6370;20211029;3;62
6370;20211029;3;35
6370;20211029;3;92
6370;20211029;3;40
6370;20211029;3;18
6371;20211029;4;44
6371;20211029;4;27
6371;20211029;4;4
6371;20211029;4;8
6371;20211029;4;56
6371;20211029;4;61
6372;20211029;1;40
6372;20211029;1;15
6373;20211029;1;43
6373;20211029;1;15
6373;20211029;1;86
6373;20211029;1;73
6374;20211029;1;82
6375;20211029;3;47
6375;20211029;3;10
6375;20211029;3;61
6375;20211029;3;13
6376;20211029;1;23
6376;20211029;1;38
6376;20211029;1;101
6377;20211029;1;21
6377;20211029;1;43
6377;20211029;1;26
6377;20211029;1;41
6377;20211029;1;39
6377;20211029;1;85
6377;20211029;1;58
6378;20211029;3;12
6378;20211029;3;18
6379;20211029;4;25
6379;20211029;4;15
6380;20211029;1;21
6380;20211029;1;27
6380;20211029;1;28
6380;20211029;1;70
6381;20211029;2;15
6381;20211029;2;40
6381;20211029;2;26
6381;20211029;2;56
6381;20211029;2;23
6382;20211029;1;3
6382;20211029;1;27
6383;20211029;1;44
6383;20211029;1;35
6383;20211029;1;15
6383;20211029;1;22
6383;20211029;1;87
6384;20211029;2;21
6384;20211029;2;35
6384;20211029;2;26
6384;20211029;2;92
6384;20211029;2;40
6384;20211029;2;49
6384;20211029;2;12
6385;20211029;2;15
6385;20211029;2;38
6385;20211029;2;46
6385;20211029;2;40
6385;20211029;2;63
6385;20211029;2;72
6385;20211029;2;61
6386;20211029;2;71
6386;20211029;2;82
6387;20211029;4;21
6387;20211029;4;23
6387;20211029;4;63
6388;20211029;1;63
6389;20211029;4;6
6390;20211029;1;44
6391;20211029;1;57
6391;20211029;1;40
6391;20211029;1;39
6391;20211029;1;12
6392;20211029;4;27
6392;20211029;4;70
6392;20211029;4;40
6392;20211029;4;18
6392;20211029;4;63
6393;20211029;4;15
6394;20211029;1;34
6394;20211029;1;44
6394;20211029;1;62
6394;20211029;1;40
6394;20211029;1;31
6394;20211029;1;67
6394;20211029;1;56
6395;20211029;1;25
6395;20211029;1;41
6395;20211029;1;13
6396;20211029;1;6
6397;20211029;2;95
6397;20211029;2;110
6398;20211029;2;30
6399;20211029;3;62
6399;20211029;3;26
6399;20211029;3;27
6400;20211028;3;15
6401;20211028;2;1
6401;20211028;2;73
6401;20211028;2;12
6401;20211028;2;71
6401;20211028;2;61
6402;20211028;2;15
6402;20211028;2;31
6402;20211028;2;41
6402;20211028;2;12
6403;20211028;3;30
6403;20211028;3;9
6404;20211028;1;21
6404;20211028;1;26
6404;20211028;1;18
6404;20211028;1;12
6405;20211028;2;20
6406;20211028;1;25
6406;20211028;1;57
6406;20211028;1;34
6406;20211028;1;3
6406;20211028;1;92
6406;20211028;1;71
6406;20211028;1;12
6407;20211028;3;35
6407;20211028;3;28
6407;20211028;3;81
6407;20211028;3;39
6408;20211028;2;63
6409;20211028;4;44
6409;20211028;4;62
6409;20211028;4;31
6409;20211028;4;86
6409;20211028;4;68
6410;20211028;2;1
6410;20211028;2;15
6410;20211028;2;56
6410;20211028;2;82
6410;20211028;2;12
6411;20211028;1;20
6412;20211028;1;20
6412;20211028;1;11
6413;20211028;2;35
6413;20211028;2;22
6413;20211028;2;84
6413;20211028;2;2
6413;20211028;2;41
6413;20211028;2;104
6413;20211028;2;68
6413;20211028;2;113
6414;20211028;1;34
6414;20211028;1;15
6414;20211028;1;41
6414;20211028;1;28
6415;20211028;3;34
6415;20211028;3;23
6415;20211028;3;13
6415;20211028;3;71
6415;20211028;3;77
6416;20211028;2;9
6417;20211028;4;54
6417;20211028;4;28
6417;20211028;4;111
6417;20211028;4;12
6418;20211028;3;30
6418;20211028;3;37
6418;20211028;3;33
6418;20211028;3;71
6418;20211028;3;12
6419;20211028;2;26
6419;20211028;2;9
6420;20211028;4;25
6420;20211028;4;50
6420;20211028;4;7
6420;20211028;4;41
6420;20211028;4;28
6420;20211028;4;101
6420;20211028;4;12
6421;20211028;2;43
6421;20211028;2;44
6421;20211028;2;56
6421;20211028;2;70
6421;20211028;2;78
6421;20211028;2;73
6421;20211028;2;11
6422;20211028;3;37
6423;20211028;3;21
6423;20211028;3;84
6423;20211028;3;92
6423;20211028;3;40
6423;20211028;3;37
6424;20211028;4;25
6424;20211028;4;57
6424;20211028;4;31
6424;20211028;4;12
6425;20211028;4;110
6426;20211028;1;4
6427;20211028;1;15
6427;20211028;1;70
6427;20211028;1;78
6427;20211028;1;41
6427;20211028;1;30
6427;20211028;1;71
6427;20211028;1;9
6428;20211028;3;84
6429;20211028;1;39
6430;20211028;4;18
6431;20211028;1;62
6431;20211028;1;35
6431;20211028;1;15
6431;20211028;1;26
6431;20211028;1;8
6431;20211028;1;11
6432;20211028;1;25
6432;20211028;1;15
6432;20211028;1;16
6433;20211028;1;60
6433;20211028;1;28
6434;20211028;2;60
6434;20211028;2;41
6434;20211028;2;66
6435;20211028;1;63
6436;20211028;4;23
6436;20211028;4;61
6436;20211028;4;12
6437;20211028;2;23
6437;20211028;2;40
6438;20211028;4;31
6438;20211028;4;26
6438;20211028;4;11
6439;20211028;3;21
6439;20211028;3;1
6439;20211028;3;40
6439;20211028;3;26
6439;20211028;3;28
6439;20211028;3;38
6439;20211028;3;18
6439;20211028;3;10
6439;20211028;3;11
6440;20211028;2;25
6440;20211028;2;21
6440;20211028;2;1
6440;20211028;2;16
6440;20211028;2;4
6440;20211028;2;116
6440;20211028;2;42
6440;20211028;2;12
6440;20211028;2;72
6440;20211028;2;10
6441;20211028;1;106
6441;20211028;1;15
6441;20211028;1;23
6441;20211028;1;39
6441;20211028;1;56
6442;20211028;3;37
6443;20211028;1;45
6443;20211028;1;12
6443;20211028;1;77
6444;20211028;2;57
6444;20211028;2;64
6444;20211028;2;29
6444;20211028;2;56
6444;20211028;2;42
6445;20211028;1;34
6446;20211028;2;44
6446;20211028;2;60
6446;20211028;2;4
6446;20211028;2;23
6446;20211028;2;89
6446;20211028;2;37
6447;20211028;2;1
6447;20211028;2;34
6447;20211028;2;23
6447;20211028;2;30
6447;20211028;2;9
6448;20211028;1;54
6448;20211028;1;48
6448;20211028;1;35
6448;20211028;1;15
6448;20211028;1;23
6448;20211028;1;77
6449;20211028;3;12
6450;20211028;2;48
6450;20211028;2;15
6450;20211028;2;2
6450;20211028;2;52
6450;20211028;2;12
6451;20211028;1;62
6451;20211028;1;38
6451;20211028;1;59
6452;20211028;1;64
6452;20211028;1;62
6452;20211028;1;15
6452;20211028;1;107
6453;20211028;1;37
6453;20211028;1;71
6454;20211028;2;20
6454;20211028;2;84
6454;20211028;2;70
6454;20211028;2;38
6454;20211028;2;73
6454;20211028;2;56
6454;20211028;2;58
6454;20211028;2;11
6455;20211028;2;34
6455;20211028;2;26
6455;20211028;2;23
6455;20211028;2;12
6456;20211028;2;34
6456;20211028;2;15
6456;20211028;2;23
6457;20211028;1;70
6458;20211028;2;34
6458;20211028;2;22
6458;20211028;2;28
6458;20211028;2;32
6459;20211028;2;41
6459;20211028;2;9
6460;20211028;1;69
6460;20211028;1;15
6460;20211028;1;108
6461;20211028;3;54
6461;20211028;3;44
6461;20211028;3;15
6461;20211028;3;30
6461;20211028;3;11
6462;20211028;1;25
6462;20211028;1;21
6462;20211028;1;23
6462;20211028;1;30
6462;20211028;1;33
6462;20211028;1;9
6462;20211028;1;12
6463;20211028;4;21
6463;20211028;4;30
6464;20211028;1;34
6464;20211028;1;50
6464;20211028;1;15
6464;20211028;1;41
6464;20211028;1;68
6464;20211028;1;40
6464;20211028;1;30
6465;20211028;3;25
6465;20211028;3;29
6465;20211028;3;15
6465;20211028;3;52
6465;20211028;3;12
6465;20211028;3;66
6466;20211028;1;34
6466;20211028;1;86
6466;20211028;1;16
6466;20211028;1;56
6466;20211028;1;78
6467;20211028;1;20
6468;20211028;4;64
6468;20211028;4;15
6468;20211028;4;23
6468;20211028;4;12
6469;20211028;4;43
6469;20211028;4;64
6469;20211028;4;1
6469;20211028;4;11
6470;20211028;2;34
6470;20211028;2;5
6470;20211028;2;23
6470;20211028;2;40
6470;20211028;2;91
6471;20211028;1;25
6471;20211028;1;56
6471;20211028;1;89
6471;20211028;1;111
6472;20211028;4;21
6472;20211028;4;44
6472;20211028;4;62
6472;20211028;4;35
6472;20211028;4;15
6472;20211028;4;26
6472;20211028;4;70
6472;20211028;4;30
6472;20211028;4;61
6472;20211028;4;12
6473;20211028;3;25
6473;20211028;3;21
6473;20211028;3;57
6473;20211028;3;64
6473;20211028;3;48
6473;20211028;3;34
6473;20211028;3;62
6473;20211028;3;15
6473;20211028;3;26
6473;20211028;3;80
6473;20211028;3;23
6473;20211028;3;70
6473;20211028;3;63
6473;20211028;3;37
6473;20211028;3;11
6474;20211028;1;64
6474;20211028;1;34
6474;20211028;1;38
6474;20211028;1;40
6475;20211028;1;25
6475;20211028;1;21
6475;20211028;1;43
6475;20211028;1;60
6475;20211028;1;35
6475;20211028;1;3
6475;20211028;1;20
6475;20211028;1;40
6475;20211028;1;30
6476;20211028;1;40
6476;20211028;1;93
6477;20211028;2;27
6478;20211028;1;37
6479;20211028;1;70
6479;20211028;1;30
6480;20211028;2;25
6480;20211028;2;34
6480;20211028;2;35
6480;20211028;2;81
6480;20211028;2;91
6481;20211028;4;35
6481;20211028;4;30
6481;20211028;4;12
6482;20211028;3;25
6482;20211028;3;23
6482;20211028;3;70
6483;20211028;3;57
6483;20211028;3;20
6483;20211028;3;23
6483;20211028;3;42
6483;20211028;3;30
6483;20211028;3;8
6483;20211028;3;56
6483;20211028;3;77
6484;20211028;1;37
6485;20211028;3;60
6485;20211028;3;52
6485;20211028;3;58
6486;20211028;1;40
6486;20211028;1;39
6486;20211028;1;18
6486;20211028;1;63
6487;20211028;1;64
6487;20211028;1;1
6487;20211028;1;56
6487;20211028;1;71
6487;20211028;1;8
6487;20211028;1;61
6488;20211028;4;25
6488;20211028;4;54
6488;20211028;4;15
6488;20211028;4;40
6488;20211028;4;26
6488;20211028;4;41
6488;20211028;4;23
6488;20211028;4;70
6489;20211028;2;21
6489;20211028;2;23
6490;20211028;2;11
6491;20211028;2;43
6491;20211028;2;86
6491;20211028;2;70
6491;20211028;2;18
6492;20211028;2;69
6492;20211028;2;35
6492;20211028;2;8
6493;20211028;2;1
6493;20211028;2;29
6493;20211028;2;70
6493;20211028;2;110
6493;20211028;2;10
6494;20211028;2;29
6494;20211028;2;35
6494;20211028;2;26
6494;20211028;2;97
6494;20211028;2;42
6494;20211028;2;38
6494;20211028;2;71
6495;20211028;1;35
6496;20211028;1;30
6497;20211028;3;21
6497;20211028;3;15
6497;20211028;3;26
6497;20211028;3;84
6497;20211028;3;23
6498;20211028;1;106
6498;20211028;1;64
6498;20211028;1;15
6498;20211028;1;26
6498;20211028;1;45
6498;20211028;1;16
6498;20211028;1;13
6498;20211028;1;102
6498;20211028;1;116
6498;20211028;1;46
6498;20211028;1;18
6499;20211028;2;30
6500;20211027;2;27
6501;20211027;1;40
6501;20211027;1;34
6501;20211027;1;62
6501;20211027;1;35
6501;20211027;1;27
6501;20211027;1;12
6501;20211027;1;63
6501;20211027;1;49
6502;20211027;1;57
6502;20211027;1;62
6502;20211027;1;15
6502;20211027;1;2
6502;20211027;1;97
6502;20211027;1;56
6502;20211027;1;55
6502;20211027;1;105
6502;20211027;1;77
6503;20211027;1;60
6503;20211027;1;86
6503;20211027;1;38
6503;20211027;1;11
6504;20211027;1;21
6504;20211027;1;69
6504;20211027;1;78
6504;20211027;1;30
6505;20211027;3;30
6506;20211027;3;64
6506;20211027;3;30
6506;20211027;3;11
6507;20211027;1;15
6507;20211027;1;40
6507;20211027;1;31
6508;20211027;1;42
6509;20211027;4;35
6509;20211027;4;15
6509;20211027;4;27
6509;20211027;4;32
6509;20211027;4;91
6510;20211027;1;44
6510;20211027;1;40
6510;20211027;1;26
6511;20211027;3;25
6511;20211027;3;64
6511;20211027;3;62
6511;20211027;3;22
6511;20211027;3;56
6512;20211027;2;15
6513;20211027;1;23
6513;20211027;1;12
6514;20211027;2;48
6514;20211027;2;62
6514;20211027;2;15
6514;20211027;2;16
6514;20211027;2;23
6514;20211027;2;36
6515;20211027;1;40
6515;20211027;1;80
6515;20211027;1;4
6515;20211027;1;56
6516;20211027;2;21
6516;20211027;2;35
6516;20211027;2;20
6516;20211027;2;76
6516;20211027;2;56
6516;20211027;2;23
6516;20211027;2;12
6516;20211027;2;40
6516;20211027;2;11
6517;20211027;1;48
6517;20211027;1;29
6517;20211027;1;35
6517;20211027;1;15
6517;20211027;1;27
6517;20211027;1;45
6517;20211027;1;86
6517;20211027;1;70
6517;20211027;1;99
6517;20211027;1;72
6518;20211027;2;38
6519;20211027;4;37
6520;20211027;1;63
6521;20211027;1;48
6521;20211027;1;44
6521;20211027;1;35
6521;20211027;1;15
6521;20211027;1;31
6521;20211027;1;102
6522;20211027;4;12
6523;20211027;2;1
6523;20211027;2;34
6523;20211027;2;60
6523;20211027;2;62
6523;20211027;2;65
6523;20211027;2;35
6523;20211027;2;15
6523;20211027;2;16
6523;20211027;2;52
6523;20211027;2;74
6523;20211027;2;40
6523;20211027;2;39
6523;20211027;2;18
6523;20211027;2;61
6524;20211027;4;62
6524;20211027;4;56
6524;20211027;4;13
6525;20211027;4;29
6525;20211027;4;15
6525;20211027;4;26
6525;20211027;4;41
6525;20211027;4;66
6525;20211027;4;90
6526;20211027;1;15
6526;20211027;1;40
6526;20211027;1;31
6526;20211027;1;20
6526;20211027;1;11
6527;20211027;4;25
6527;20211027;4;57
6527;20211027;4;64
6527;20211027;4;34
6527;20211027;4;35
6527;20211027;4;15
6527;20211027;4;26
6527;20211027;4;23
6527;20211027;4;78
6527;20211027;4;92
6527;20211027;4;30
6527;20211027;4;11
6528;20211027;3;35
6528;20211027;3;15
6528;20211027;3;70
6528;20211027;3;38
6528;20211027;3;40
6529;20211027;3;41
6529;20211027;3;23
6529;20211027;3;28
6530;20211027;1;1
6530;20211027;1;26
6530;20211027;1;23
6530;20211027;1;70
6531;20211027;2;34
6531;20211027;2;35
6531;20211027;2;15
6531;20211027;2;70
6531;20211027;2;52
6531;20211027;2;91
6532;20211027;3;35
6532;20211027;3;23
6533;20211027;3;28
6533;20211027;3;41
6533;20211027;3;101
6533;20211027;3;12
6533;20211027;3;30
6534;20211027;3;9
6535;20211027;2;104
6535;20211027;2;23
6535;20211027;2;82
6536;20211027;1;40
6536;20211027;1;57
6536;20211027;1;16
6536;20211027;1;38
6537;20211027;3;21
6537;20211027;3;2
6537;20211027;3;23
6537;20211027;3;18
6538;20211027;1;21
6538;20211027;1;23
6538;20211027;1;37
6539;20211027;3;40
6539;20211027;3;35
6539;20211027;3;67
6539;20211027;3;12
6540;20211027;1;41
6540;20211027;1;104
6540;20211027;1;9
6541;20211027;3;35
6541;20211027;3;15
6541;20211027;3;56
6542;20211027;1;70
6542;20211027;1;37
6543;20211027;1;30
6544;20211027;1;1
6544;20211027;1;35
6544;20211027;1;15
6544;20211027;1;30
6545;20211027;3;15
6545;20211027;3;41
6545;20211027;3;67
6546;20211027;1;31
6546;20211027;1;18
6546;20211027;1;82
6547;20211027;2;35
6548;20211027;3;64
6548;20211027;3;15
6548;20211027;3;2
6549;20211027;1;26
6549;20211027;1;23
6550;20211027;1;69
6550;20211027;1;40
6550;20211027;1;31
6550;20211027;1;30
6551;20211027;1;60
6551;20211027;1;18
6551;20211027;1;93
6551;20211027;1;8
6551;20211027;1;72
6551;20211027;1;82
6551;20211027;1;12
6552;20211027;3;16
6552;20211027;3;32
6552;20211027;3;63
6552;20211027;3;33
6552;20211027;3;71
6552;20211027;3;58
6553;20211027;4;21
6553;20211027;4;34
6553;20211027;4;44
6553;20211027;4;81
6553;20211027;4;17
6553;20211027;4;37
6554;20211027;1;57
6554;20211027;1;1
6554;20211027;1;35
6554;20211027;1;15
6554;20211027;1;20
6554;20211027;1;68
6554;20211027;1;56
6554;20211027;1;113
6554;20211027;1;18
6554;20211027;1;37
6554;20211027;1;9
6555;20211027;1;84
6556;20211027;1;103
6557;20211027;1;34
6557;20211027;1;15
6557;20211027;1;92
6557;20211027;1;30
6558;20211027;4;25
6558;20211027;4;111
6559;20211027;4;21
6559;20211027;4;86
6559;20211027;4;70
6560;20211027;2;23
6560;20211027;2;28
6560;20211027;2;9
6561;20211027;1;30
6561;20211027;1;63
6561;20211027;1;49
6561;20211027;1;93
6562;20211027;1;102
6563;20211027;1;30
6564;20211027;1;21
6564;20211027;1;44
6564;20211027;1;62
6564;20211027;1;15
6564;20211027;1;23
6564;20211027;1;70
6564;20211027;1;12
6565;20211027;1;35
6565;20211027;1;15
6565;20211027;1;28
6565;20211027;1;38
6566;20211027;1;21
6566;20211027;1;23
6566;20211027;1;93
6566;20211027;1;12
6567;20211027;1;35
6567;20211027;1;15
6567;20211027;1;31
6567;20211027;1;20
6567;20211027;1;56
6567;20211027;1;28
6567;20211027;1;32
6567;20211027;1;12
6568;20211027;1;26
6568;20211027;1;56
6568;20211027;1;23
6569;20211027;3;54
6569;20211027;3;62
6569;20211027;3;15
6569;20211027;3;31
6569;20211027;3;70
6570;20211027;3;25
6570;20211027;3;57
6570;20211027;3;35
6570;20211027;3;28
6570;20211027;3;92
6570;20211027;3;12
6570;20211027;3;11
6571;20211027;3;35
6571;20211027;3;15
6571;20211027;3;4
6571;20211027;3;70
6571;20211027;3;18
6571;20211027;3;8
6571;20211027;3;12
6572;20211027;2;29
6572;20211027;2;26
6572;20211027;2;12
6573;20211027;1;23
6574;20211027;2;27
6575;20211027;2;32
6576;20211027;1;25
6576;20211027;1;43
6576;20211027;1;15
6576;20211027;1;41
6576;20211027;1;104
6576;20211027;1;13
6576;20211027;1;12
6577;20211027;2;84
6577;20211027;2;23
6578;20211027;1;1
6578;20211027;1;34
6578;20211027;1;50
6578;20211027;1;35
6578;20211027;1;70
6578;20211027;1;40
6578;20211027;1;11
6579;20211027;1;15
6579;20211027;1;4
6579;20211027;1;89
6579;20211027;1;101
6579;20211027;1;63
6580;20211027;4;63
6581;20211027;4;50
6581;20211027;4;28
6582;20211027;2;15
6582;20211027;2;31
6582;20211027;2;26
6582;20211027;2;96
6582;20211027;2;10
6582;20211027;2;61
6582;20211027;2;94
6583;20211027;2;64
6583;20211027;2;1
6583;20211027;2;35
6584;20211027;2;40
6584;20211027;2;60
6585;20211027;2;21
6585;20211027;2;29
6585;20211027;2;20
6585;20211027;2;12
6586;20211027;2;46
6586;20211027;2;12
6586;20211027;2;37
6587;20211027;4;23
6588;20211027;1;8
6589;20211027;3;44
6589;20211027;3;60
6589;20211027;3;26
6589;20211027;3;86
6589;20211027;3;61
6590;20211027;3;1
6590;20211027;3;4
6590;20211027;3;37
6590;20211027;3;93
6591;20211027;1;48
6591;20211027;1;92
6591;20211027;1;10
6592;20211027;1;40
6592;20211027;1;62
6593;20211027;1;64
6593;20211027;1;100
6594;20211027;1;30
6595;20211027;2;43
6595;20211027;2;29
6595;20211027;2;50
6595;20211027;2;15
6595;20211027;2;22
6595;20211027;2;26
6595;20211027;2;20
6595;20211027;2;41
6595;20211027;2;103
6595;20211027;2;70
6595;20211027;2;78
6595;20211027;2;56
6595;20211027;2;82
6595;20211027;2;10
6595;20211027;2;66
6596;20211027;2;1
6596;20211027;2;62
6596;20211027;2;23
6597;20211027;4;10
6598;20211027;4;1
6598;20211027;4;34
6598;20211027;4;3
6598;20211027;4;18
6599;20211027;2;21
6599;20211027;2;23
6599;20211027;2;30
6599;20211027;2;56
6600;20211026;1;15
6601;20211026;1;1
6601;20211026;1;26
6601;20211026;1;30
6602;20211026;3;73
6602;20211026;3;30
6602;20211026;3;77
6603;20211026;2;23
6603;20211026;2;70
6603;20211026;2;77
6604;20211026;1;55
6604;20211026;1;82
6605;20211026;2;26
6605;20211026;2;8
6606;20211026;4;4
6606;20211026;4;9
6607;20211026;3;15
6608;20211026;2;21
6608;20211026;2;34
6608;20211026;2;29
6608;20211026;2;26
6608;20211026;2;12
6609;20211026;2;57
6609;20211026;2;7
6609;20211026;2;76
6609;20211026;2;42
6609;20211026;2;47
6610;20211026;1;62
6610;20211026;1;35
6610;20211026;1;101
6610;20211026;1;12
6611;20211026;1;72
6612;20211026;1;29
6612;20211026;1;62
6612;20211026;1;15
6612;20211026;1;40
6612;20211026;1;23
6612;20211026;1;71
6613;20211026;3;48
6613;20211026;3;4
6613;20211026;3;93
6614;20211026;4;72
6615;20211026;1;40
6615;20211026;1;16
6615;20211026;1;30
6615;20211026;1;37
6615;20211026;1;10
6616;20211026;2;40
6616;20211026;2;34
6616;20211026;2;62
6616;20211026;2;15
6616;20211026;2;13
6616;20211026;2;9
6616;20211026;2;12
6617;20211026;1;25
6617;20211026;1;15
6617;20211026;1;3
6617;20211026;1;13
6617;20211026;1;12
6618;20211026;2;57
6618;20211026;2;37
6619;20211026;2;62
6619;20211026;2;15
6619;20211026;2;23
6619;20211026;2;79
6619;20211026;2;11
6620;20211026;3;41
6620;20211026;3;28
6621;20211026;2;56
6622;20211026;3;28
6623;20211026;1;40
6623;20211026;1;35
6623;20211026;1;15
6623;20211026;1;31
6623;20211026;1;8
6624;20211026;1;25
6624;20211026;1;102
6624;20211026;1;58
6625;20211026;1;35
6625;20211026;1;15
6625;20211026;1;55
6625;20211026;1;47
6626;20211026;4;60
6627;20211026;1;19
6627;20211026;1;114
6627;20211026;1;56
6627;20211026;1;10
6627;20211026;1;12
6628;20211026;2;74
6628;20211026;2;17
6628;20211026;2;12
6629;20211026;1;48
6629;20211026;1;15
6629;20211026;1;40
6629;20211026;1;84
6629;20211026;1;73
6629;20211026;1;17
6629;20211026;1;47
6630;20211026;2;34
6630;20211026;2;63
6631;20211026;4;1
6632;20211026;2;21
6632;20211026;2;15
6632;20211026;2;31
6632;20211026;2;73
6633;20211026;3;44
6633;20211026;3;26
6633;20211026;3;28
6634;20211026;4;34
6634;20211026;4;31
6634;20211026;4;26
6634;20211026;4;20
6635;20211026;2;25
6635;20211026;2;19
6635;20211026;2;23
6636;20211026;4;21
6637;20211026;1;46
6638;20211026;4;40
6639;20211026;4;62
6640;20211026;4;63
6641;20211026;1;79
6642;20211026;2;62
6642;20211026;2;2
6643;20211026;1;21
6643;20211026;1;23
6643;20211026;1;18
6643;20211026;1;55
6644;20211026;1;1
6644;20211026;1;35
6644;20211026;1;27
6645;20211026;1;35
6645;20211026;1;86
6645;20211026;1;16
6645;20211026;1;18
6645;20211026;1;8
6646;20211026;1;17
6647;20211026;2;26
6647;20211026;2;37
6648;20211026;2;44
6648;20211026;2;107
6648;20211026;2;63
6648;20211026;2;93
6648;20211026;2;56
6648;20211026;2;12
6649;20211026;3;15
6649;20211026;3;28
6649;20211026;3;30
6649;20211026;3;63
6649;20211026;3;71
6649;20211026;3;8
6649;20211026;3;56
6649;20211026;3;12
6650;20211026;3;35
6650;20211026;3;76
6651;20211026;1;54
6651;20211026;1;76
6651;20211026;1;23
6651;20211026;1;30
6651;20211026;1;8
6651;20211026;1;61
6652;20211026;2;15
6653;20211026;2;23
6653;20211026;2;58
6654;20211026;1;43
6654;20211026;1;62
6654;20211026;1;40
6654;20211026;1;84
6654;20211026;1;23
6654;20211026;1;52
6654;20211026;1;41
6654;20211026;1;12
6654;20211026;1;30
6655;20211026;1;13
6655;20211026;1;91
6656;20211026;1;40
6656;20211026;1;1
6656;20211026;1;73
6656;20211026;1;39
6656;20211026;1;12
6657;20211026;2;39
6658;20211026;1;78
6658;20211026;1;63
6658;20211026;1;93
6659;20211026;4;25
6659;20211026;4;57
6659;20211026;4;15
6659;20211026;4;26
6659;20211026;4;84
6659;20211026;4;28
6660;20211026;2;35
6660;20211026;2;31
6660;20211026;2;20
6660;20211026;2;70
6660;20211026;2;46
6661;20211026;3;15
6661;20211026;3;52
6661;20211026;3;8
6661;20211026;3;56
6662;20211026;3;21
6663;20211026;3;34
6663;20211026;3;62
6663;20211026;3;15
6663;20211026;3;86
6663;20211026;3;24
6663;20211026;3;41
6663;20211026;3;101
6664;20211026;2;35
6664;20211026;2;15
6664;20211026;2;30
6665;20211026;1;30
6665;20211026;1;63
6666;20211026;1;9
6667;20211026;2;57
6667;20211026;2;29
6667;20211026;2;15
6667;20211026;2;40
6667;20211026;2;26
6667;20211026;2;20
6667;20211026;2;86
6668;20211026;3;40
6668;20211026;3;2
6668;20211026;3;5
6668;20211026;3;23
6668;20211026;3;70
6668;20211026;3;30
6668;20211026;3;63
6669;20211026;1;26
6669;20211026;1;61
6670;20211026;1;34
6670;20211026;1;44
6670;20211026;1;60
6671;20211026;1;63
6672;20211026;1;60
6672;20211026;1;86
6673;20211026;2;57
6673;20211026;2;64
6673;20211026;2;15
6673;20211026;2;16
6673;20211026;2;41
6673;20211026;2;37
6673;20211026;2;47
6673;20211026;2;61
6673;20211026;2;91
6674;20211026;2;1
6675;20211026;4;26
6675;20211026;4;33
6675;20211026;4;8
6675;20211026;4;10
6675;20211026;4;12
6676;20211026;1;25
6676;20211026;1;19
6676;20211026;1;30
6677;20211026;1;15
6677;20211026;1;55
6678;20211026;1;69
6678;20211026;1;60
6678;20211026;1;35
6678;20211026;1;31
6678;20211026;1;27
6678;20211026;1;23
6678;20211026;1;70
6678;20211026;1;72
6678;20211026;1;9
6679;20211026;1;50
6679;20211026;1;35
6679;20211026;1;45
6679;20211026;1;86
6679;20211026;1;82
6680;20211026;4;26
6680;20211026;4;82
6681;20211026;4;31
6681;20211026;4;111
6681;20211026;4;14
6682;20211026;2;64
6682;20211026;2;62
6682;20211026;2;50
6682;20211026;2;65
6682;20211026;2;15
6682;20211026;2;24
6682;20211026;2;23
6682;20211026;2;42
6682;20211026;2;117
6682;20211026;2;40
6682;20211026;2;72
6683;20211026;4;39
6684;20211026;3;21
6684;20211026;3;15
6684;20211026;3;31
6684;20211026;3;63
6685;20211026;3;1
6685;20211026;3;20
6685;20211026;3;28
6685;20211026;3;40
6685;20211026;3;10
6686;20211026;2;40
6686;20211026;2;57
6686;20211026;2;65
6686;20211026;2;35
6686;20211026;2;101
6686;20211026;2;39
6686;20211026;2;61
6686;20211026;2;11
6687;20211026;4;35
6687;20211026;4;22
6687;20211026;4;40
6687;20211026;4;63
6688;20211026;1;76
6689;20211026;1;34
6689;20211026;1;15
6689;20211026;1;71
6689;20211026;1;112
6690;20211026;1;44
6690;20211026;1;40
6690;20211026;1;45
6690;20211026;1;13
6690;20211026;1;39
6691;20211026;2;60
6691;20211026;2;28
6692;20211026;4;29
6692;20211026;4;15
6693;20211026;1;40
6694;20211026;3;57
6694;20211026;3;34
6694;20211026;3;104
6694;20211026;3;40
6694;20211026;3;30
6694;20211026;3;63
6695;20211026;1;21
6695;20211026;1;23
6696;20211026;2;23
6697;20211026;1;15
6697;20211026;1;76
6697;20211026;1;30
6698;20211026;3;64
6698;20211026;3;1
6698;20211026;3;60
6698;20211026;3;29
6698;20211026;3;22
6698;20211026;3;26
6698;20211026;3;2
6698;20211026;3;23
6699;20211026;1;64
6699;20211026;1;45
6699;20211026;1;67
6700;20211025;2;35
6700;20211025;2;40
6701;20211025;1;29
6701;20211025;1;15
6701;20211025;1;20
6701;20211025;1;70
6701;20211025;1;30
6701;20211025;1;67
6701;20211025;1;56
6701;20211025;1;77
6702;20211025;2;21
6702;20211025;2;104
6702;20211025;2;13
6703;20211025;2;1
6703;20211025;2;35
6703;20211025;2;84
6703;20211025;2;56
6703;20211025;2;13
6703;20211025;2;92
6704;20211025;1;15
6704;20211025;1;31
6704;20211025;1;26
6704;20211025;1;20
6704;20211025;1;38
6705;20211025;2;1
6706;20211025;2;40
6706;20211025;2;8
